freebase:id,wikipedia:id,viaf:id,lcnaf:id,moma:id,vanda:id,ima:id,ch:id,ch:name
,2303661,0,0,0,0,0,18042189,"William E. Dodge"
/m/01vb2,21490963,0,0,0,0,0,18042193,"Chester A. Arthur"
/m/01ftf7,217320,7411341,0,0,0,0,18042195,"Carl Schurz"
,4411903,0,0,0,0,0,18042197,"Evan Thomas"
,372163,0,0,0,0,0,18042203,"Peter Cooper"
/m/01h33_,227131,0,0,8350,0,0,18042211,"Nicolaus Ott"
/m/03nzbq,908990,46764198,0,0,0,0,18042217,"Raymond Loewy"
,8002647,0,0,0,0,0,18042219,"Carlo Galli Bibiena"
,8002647,0,0,0,0,0,18042221,"Francesco Galli Bibiena"
,8002647,0,0,0,0,0,18042223,"Bibiena Family"
/m/026m_6n,7998912,0,0,0,0,0,18042225,"Ferdinando Galli Bibiena"
,8002647,0,0,0,0,0,18042227,"Alessandro Galli Bibiena"
/m/01vt1c,323254,0,0,0,0,0,18042233,"Daniel Marot"
,400646,0,0,0,0,0,18042237,"Thomas Moran"
,364796,0,0,0,0,0,18042253,Vassar
,170810,0,0,0,0,0,18042269,"Radio City Music Hall"
,709187,0,0,0,0,0,18042275,Wiener
,479944,0,0,0,0,18308705,18042279,Alcoa
,5149109,0,0,0,0,0,18042283,"B. L."
/m/06vlrs,2202554,0,0,0,0,0,18042285,"William Trost Richards"
/m/05x8yl,1791534,59448095,0,0,0,0,18042291,"Francis Hopkinson Smith"
/m/03d29gn,14390708,42641268,0,0,0,0,18042301,"William Stanley Haseltine"
/m/0464sff,17628189,0,0,0,0,0,18042307,"Jayme Odgers"
/m/09gb9y7,23249452,0,0,0,0,0,18042311,"Katherine McCoy"
,197544,0,0,8434,38404,0,18042323,Pentagram
/m/06_xmt9,23804512,0,0,4639,42647,0,18042325,"Woody Pirtle"
/m/0c_x5j,5036398,0,0,6155,0,0,18042329,"Massimo Vignelli"
/m/019rd,4031,0,0,2030,0,0,18042337,"R.Buckminster Fuller"
,206029,0,0,4809,0,0,18042341,"Paul Rand"
/m/03gxm9,849349,0,0,372,13698,0,18042343,"Saul Bass"
,141330,0,0,3859,0,18301859,18042345,"Peter Max"
/m/05f5m4s,21270337,0,0,0,0,0,18042347,"Tom Geismar"
,2615534,0,0,0,0,0,18042351,"Peter Bradford"
/m/02pnh43,9662674,0,0,0,0,0,18042355,"Michael Vanderbyl"
,2394121,0,0,0,0,0,18042367,"Earl Woods"
/m/0278wby,8583897,0,0,0,0,0,18042373,"Daniel Hopfer"
/m/02vrtkm,12160547,0,0,0,32162,0,18042375,"Jean-Baptiste Monnoyer"
/m/0gvv9_j,31950633,0,0,0,0,0,18042387,"Jacques de Lajoüe"
/m/02rvj2g,11848841,0,0,0,0,0,18042393,"Etienne de Lavallée-Poussin"
/m/028b24c,9467613,0,0,0,0,0,18042405,"Felice Giani"
/m/02pyk1w,9973655,0,0,0,0,0,18042407,"Jean-Baptiste Pillement"
/m/069zhm,1971257,28214692,0,0,0,0,18042411,"Samuel Colman"
/m/0bmgbxs,26722306,0,0,0,0,0,18042413,"Henri Jacob"
/m/0c_mmc,5030476,0,0,0,9925,0,18042415,"Georges Jacob"
/m/0l2tk,82058,0,0,0,0,0,18042421,"Brigham Young University"
,378325,0,0,1547,0,0,18042429,"Jim Dine"
/m/027lxmb,8848768,0,0,0,0,0,18042465,"John Follis"
/m/096r5p,3341760,109372554,0,0,0,0,18042477,"Gilbert Seldes"
,28806356,0,0,0,0,0,18042479,Carlebach
/m/0d4nfl,5140732,0,0,0,0,0,18042481,"Benjamin Dean Wyatt"
,69880,0,0,0,68699,0,18042489,"Napoleon Bonaparte"
/m/018dlc,178877,0,0,0,4340,18299901,18042493,"Sir Edward Burne-Jones"
/m/07tlss,2639809,0,0,0,0,0,18042501,"Jacques Sarazin"
,2431142,0,0,0,0,0,18042503,"Condé Nast"
,432397,0,0,0,45217,0,18042509,"Deere & Company"
,948203,0,0,0,0,0,18042513,"Hugh Ferriss"
,43357,0,0,0,8720,18298933,18042515,"Katsushika Hokusai"
,2744321,0,0,0,49801,0,18042527,Rubin
,902105,0,0,0,0,0,18042529,"Jusepe de Ribera"
,4667874,0,0,0,0,0,18042541,"Ely Jacques Kahn"
/m/05f8f81,21323102,0,0,0,37798,0,18042557,"Jean-Guillaume Moitte"
/m/05n_kgm,22130580,0,0,0,49402,0,18042559,"Gabriel Huquier"
/m/01k7k8,242867,46882028,0,0,208,18298649,18042561,"Antoine Watteau"
/m/051lb9,1438494,0,0,0,0,18296803,18042565,"Girolamo da Carpi"
/m/03fz_9,840190,0,0,0,0,0,18042567,"Abraham Bloemaert"
/m/021f63,379665,0,0,2407,0,0,18042569,"Hector Guimard"
/m/026pz6n,8055836,0,0,0,0,0,18042571,"Israhel van Meckenem"
/m/026xb3_,8237874,0,0,0,0,0,18042573,"Francesco Trevisani"
,7071834,0,0,0,0,0,18042575,"Moses Taylor"
/m/03cm4xd,13884882,0,0,0,0,0,18042581,"Andrea Boscoli"
/m/06grgz,2036265,46771018,0,0,0,0,18042589,"Giovanni Domenico Tiepolo"
/m/01fr20,216781,0,0,0,0,0,18042591,"Giovanni-Battista Tiepolo"
/m/098x8z,3386316,0,0,0,0,0,18042593,"Giovanni Battista Foggini"
,11800983,0,0,0,0,0,18042603,"Daily Herald"
/m/0bz8tz,4363290,0,0,0,0,0,18042621,"Ferdinando Fuga"
/m/0bz427,4360470,0,0,0,40651,0,18042631,"Carlo Marchionni"
/m/03crg7c,14027539,0,0,0,74483,0,18042635,"Carlo Antonio Buffagnotti"
,2631276,0,0,0,0,0,18042637,"Jacopo Ligozzi"
/m/02vz1st,12288794,0,0,0,0,0,18042641,"Giovanni Battista Natali"
/m/01fcrg,214213,27084155,0,0,49618,0,18042645,"Andrea Mantegna"
/m/0cnz5c7,28327831,0,0,0,0,0,18042651,"Nicola Fiore"
/m/0h7mqqk,33313404,0,0,0,0,0,18042655,"Jean-Jacques-François Le Barbier"
/m/0506cv,1421679,88072957,0,0,0,0,18042657,"Juste-Aurèle Meissonnier"
